10101010001110011110001111001101	11000000010100100101100010000010
11010110111111110101100111111100	00010001001101101000101011001100
11111001000111110110101011111011	00111011100100011011000010000101
00011110010101000100110100110110	11110110100010001101000101111110
10100010000100100111101101100010	10110000101110111100001011100001
11111011011111000011101011100111	00000100100111101111110010010011
11111010000001010100011000110100	01101110100101000111000101101010
11101010100110100111100000011111	10001001111110100000001000111000
01101110001101101110011000111011	10100101010010100010101000100010
11110100000011011111110100000011	00101010001100101100010011101000
00111001100011101010100001111001	11011101101000110110001000000110
11101100010101001111001110111111	11101111101111111011000101001110
11011101001110000110101110111110	00001001011000101011101100000101
10011111101111101101010111010101	11011010100110101100011111100100
01111011011110100101001110011100	00111100110110101000011101001000
01001111010001111011100001011111	11111001100101101011110100010001
11001100010111100111001100101110	00000110111100010101011101110011
11010101100100111000011101011011	10001010011110110101110011100001
01110100101001101101000110001111	01100100110011011010001010111011
01110000000111101010100101101010	00111100110001001000101001000000
00111100101010011010010101101110	00010000110100011011111011001011
11100000001001111101110110110110	10111011101011110010100101011111
00100100111011110000001100100001	00001101000000001110010111101100
00010010100111001111101111010001	11111000000110011010111100100101
11110100001101101101100110000000	00100110010101000011000111010000
10111101001010110110101110011101	00101100111110111001011111011000
01111011000110111001010011000000	01100100000100010100100101101111
11100111101011011110011011010000	10101101000011010101010110010010
01111110110010000101000001000011	10001101011011100001100100000000
00001110101011001100011010101101	01001000001011010010011011011010
00011001101100000110010100001100	01001011000001000100000010001010
11000000011110011111101011011111	11000011000000011011010010010110
01100001000111001000100000000011	10010000101100111011010010110000
01010111010111110111100000011100	01001000110010011000010101010101
01100001110100011000101101001111	01001011011101110010100101111110
00111100101100100100010101010110	01100111100111011111011100101100
01010011100011110001101000100101	11100100000001000011010001110001
00110110101101101010110011101010	00100001100010110010100101100001
01111101111001010110010000000011	01000000110011001110100000001110
01000010100010110001010011010000	01111011011011011011001000000010
10111011010001110111010010111011	11101101000101001101101101010010
10110101100100101001011101110010	11010011001100110011011110110101
11000100000011111101011100010101	11100101100000011100010101011011
00101011011011111001101000101010	00111010010010110011001110001000
11001010100111110000110001001101	01000100110110010111110010010000
11001101000111010111111001000011	01000100100011110101010010000100
10101101000100000100001101110010	11001010111111011110010001001100
11100000011010110100111010000010	10000010100001110001110110110010
11001001100110010001011010010000	01000111000100010100110011010000
10110011011111011111001010010101	01011000011100110010101111010100
